Id;Ekspor;Cadangan Devisa;IHSG;Selisih Pinjaman dan Simpanan;Suku Bunga Simpanan Riil;Selisih BI Rate Riil dan FED Rate Riil;Simpanan bank ;Nilai Tukar Riil;Nilai Tukar Perdagangan;M1;M2/Cadangan Devisa;M2M;Krisis
22;2689;9867.7;247.39;1.15;21.7;14.36;23.00552209;455.92;1.0307;13.22;0.005;8.02;0
23;2358;10198.5;282.2;1.16;21.11;13.69;18.70359281;460.04;1.0772;13.09;0.0048;8.29;0
24;2487;10094.2;280.9;1.16;21.22;14.12;18.71293532;460.92;1.1162;13.06;0.0049;8.3;0
25;2627;10542.2;278.6;1.16;20.63;13.84;22.83143282;463.19;1.231;13.54;0.0047;6.89;0
26;2390;11126.2;277.2;1.17;20.23;12.49;18.59297725;467.94;1.0561;12.91;0.0045;8.28;0
27;2703;11314.6;299.2;1.19;20.71;13.27;19.12086828;468.93;1.204;12.9;0.0046;8.29;0
28;2694;11352.1;313.6;1.21;19.44;11.96;19.68371864;471.66;1.1454;13.2;0.0046;8.41;0
29;2844;11619.9;317.2;1.25;19.21;12.75;20.27125307;472.18;1.2916;13.27;0.0046;8.6;0
30;2017;11869.9;301.27;1.28;18.7;12.06;20.92723697;471.36;0.9143;13.48;0.0046;8.49;0
32;3453;11787.9;307.58;1.31;17.56;11.43;21.5;474.92;1.6498;13.6;0.0048;8.69;0
33;3313;12171.8;285.6;1.29;17.13;10.88;28.51287033;477.55;1.479;13.85;0.0047;8.59;0
35;3002;11722.8;280.15;1.34;13.43;8.07;29.11761859;494.36;1.4008;13.91;0.0049;8.52;0
36;2893;11831.5;300.38;1.34;14.11;8.32;30.06240929;502.87;1.435;14.05;0.005;8.57;0
37;3009;11981.2;310.76;1.38;14.22;8.36;29.43408981;509.56;1.3733;14.77;0.005;7.71;0
38;2958;12204.5;314.1;1.39;15.38;9.64;43.86065574;509.62;1.3235;14.32;0.0049;86.97;0
39;3118;12100.2;341.85;1.4;15.12;8.83;43.67420597;510.6;1.4475;14.51;0.0049;8.43;0
40;2981.2;12122.5;360.35;1.39;14.95;7.64;44.59195402;513.59;1.1341;15.12;0.0049;8.29;0
41;3025.7;12155.1;356.72;1.38;14.22;5.07;45.83110687;519.02;1.2449;15.13;0.005;8.1;0
42;3128.4;12160.3;417.3;1.39;14.15;4.41;47.76831589;520.7;1.4084;16.2;0.0052;8.43;0
43;3084.1;12207.2;419.96;1.43;13.49;6.05;49.19924099;522.57;1.1499;16.62;0.0053;8.43;0
45;3212.1;12270.5;518.78;1.53;12.02;6.19;51.2374169;524.82;1.3528;17.16;0.0055;8.33;0
46;3194.7;12352.2;588.77;1.59;11.26;5.29;52.65402844;528.62;1.1323;17.55;0.0056;8.27;0
47;2666.5;12419.4;592.02;1.59;10.39;4.84;53.04382658;536.8;1.2624;17.63;0.0056;8.61;0
49;3032.3;12708.5;492.37;1.56;10.84;4.6;51.53989734;551.72;1.1578;17.94;0.0055;7.86;0
50;3133.9;11796;462.4;1.55;11.18;4.86;51.251745;553.84;1.3473;17.95;0.0059;8.1;0
51;3209.8;11693.6;501.79;1.51;11.07;4.97;51.56937355;557.91;1.2145;18.07;0.006;8.16;0
52;3567.8;11733.6;457.3;1.45;11.94;5.9;52.50972222;558;1.2711;18.57;0.006;7.97;0
53;3514.9;11719.8;451.08;1.4;11.13;5.34;52.87505763;566.45;1.3296;18.56;0.0061;7.92;0
54;3592.2;12356.8;510.26;1.36;12.05;5.63;54.25931034;570.78;1.3034;19.12;0.0059;7.89;0
55;3481.2;12441.8;497.97;1.32;12.83;6.55;55.33608436;573.87;1.2184;19.44;0.006;7.75;0
56;3646.3;13222.3;523.49;1.29;12.77;6.41;56.97621226;579.93;1.2761;20.12;0.0057;7.76;0
57;3640.9;13189.3;482.63;1.28;13.28;6.34;58.0501596;583.64;1.3202;20.19;0.0058;7.99;0
58;3768;13157.9;469.64;1.24;13.76;6.43;60.205;588.53;1.1201;20.62;0.006;7.88;0
59;3259;12971.9;433.83;1.23;13.54;6.8;60.0357952;594.86;1.1894;20.2;0.0062;8.08;0
60;3431;12976.3;453.58;1.19;14.04;6.75;60.26265823;601.6;1.1662;21.4;0.0063;7.03;0
63;3822;13544;475.28;1.12;16.24;8.45;62.11404293;619.67;1.0739;20.14;0.0061;8.06;0
65;3775;14369;512.06;1.09;16.72;8.22;66.90159574;629.43;1.091;21;0.0061;8.47;0
68;3900;14333;488.44;1.11;16.76;7.88;71.44157549;641.04;1.1501;22.05;0.0064;8.87;0
70;4524;14787;513.84;1.12;16.35;7.62;73.93717504;656.23;1.2907;23.11;0.0065;8.64;0
72;3685;16067;585.2;1.12;15.9;7.67;75.27734711;683.34;1.284;23.24;0.0061;7.63;0
73;3955;16097;585.7;1.12;17.95;9.92;75.67436885;679.7;1.11;22.75;0.0062;7.49;0
74;4030;16044;623.9;1.11;17.09;8.83;77.88556789;680.52;1.0921;22.88;0.0063;7.82;0
75;4075;16039;617.46;1.11;16.74;8.29;78.74341546;687.09;1.0337;22.83;0.0064;8.02;0
76;4136;16649;594.25;1.11;18.09;9.54;82.02476516;678.1;1.0309;24.1;0.0064;8.1;0
77;4069;16571;536.02;1.1;16.66;8.17;83.41436464;684.7;1.1337;24.53;0.0065;8.28;0
78;4322;16559;547.61;1.11;17.3;8.94;83.12780364;686.03;1.2586;24.37;0.0065;8.18;1
82;4682;19281;637.43;1.12;16.69;7.21;94.64876206;695.35;1.2234;26.89;0.0063;8.39;1
83;4484;19931;691.11;1.13;15.15;5.43;93.47746244;708.77;0.9379;27.49;0.0061;8.22;1
84;4027;19968;705.37;1.14;15.9;6.05;94.72859518;714.87;1.2166;27.01;0.0061;8.69;1
86;4946;20452;652.05;1.16;15.85;4.94;95.72955199;723.3;1.2544;26.54;0.006;7.72;1
87;4854;21123;696.02;1.17;15.75;4.76;96.42704918;728.07;0.9708;26.74;0.0059;7.71;1
88;4936;21276;724.55;1.17;15.97;5.16;98.62040816;729.86;1.3904;28.55;0.006;7.74;1
89;5130;21148;721.27;1.17;15.04;4.69;92.75721431;779.49;1.182;26.65;0.0058;7.96;1
90;4547;20185;493.96;1.16;20.81;7.44;77.03953871;916.91;0.9609;21.49;0.0053;9.78;1
91;4689;21187;546.68;1.01;25.13;15.66;72.18320611;997.72;1.0516;20.23;0.0047;8.98;1
92;4838;19213;500.41;0.97;26.34;14.06;65.63841962;1130.84;1.0109;18.35;0.0048;10.15;1
93;4516;18903;401.7;1;25.72;13.65;64.89391447;1133.63;1.1387;19.15;0.0048;9.77;1
95;3892;18985;485.93;1.12;15.69;7.52;25.1579759;3502.8;1.2151;8.94;0.0023;8.05;1
96;4027;16298;482.37;1.07;11.33;4.02;32.18857143;3324.96;1.6772;10.57;0.003;8.67;1
97;4908;16613;541.42;1.02;21.99;17.17;37.74186186;3330.95;1.4945;11.8;0.0033;7.57;1
98;4385;17742;460.13;1;24.7;36.41;42.97306667;3131.46;1.1893;12.72;0.0034;7.43;1
100;4668;18769;445.92;0.83;35.99;47.98;23.50557047;6838.86;1.6437;7.35;0.002;8.05;0
102;4252;19735;342.43;0.79;38.05;59.05;32.7765237;5851.73;1.3886;9.44;0.0025;7.88;0
103;4781;20475;276.15;0.75;43.63;59.88;35.31485981;5858.66;1.5696;9.59;0.0025;7.83;0
105;3542;22623;386.27;0.66;52.98;46.42;57.1309589;3979.76;1.4451;13.83;0.0033;7.54;0
106;3557;23516;398.03;0.71;47.81;32.21;53.63127726;4439.82;1.443;12.61;0.0031;7.69;0
107;3041;24542;411.93;0.76;42.53;28.95;48.65039106;5086.23;1.421;11.39;0.0027;7.97;0
108;3357;24392;396;0.91;36.94;31.61;50.42107675;5017.68;1.3691;11.85;0.0028;7.75;0
110;4127;25715;495.22;0.93;34.77;31.85;55.03583535;4658.6;1.3625;12.19;0.0029;8.13;0
112;4106;27051;662.02;1.05;27.73;17.39;71.05114481;3769.97;1.4942;15.75;0.0034;7.96;0
113;4534;26749;597.87;1.12;24.5;11.36;71.00363636;3801.63;1.7187;15.43;0.0034;8.12;0
114;4903;26888;572.66;1.27;19.99;9.12;64.41784534;4134.31;1.7694;14.48;0.0031;8.06;0
115;4832;26888;547.94;1.45;16.56;8.93;58.49284522;4523.54;1.4969;14.09;0.0029;8.03;0
116;4549;27093;593.86;1.7;13.31;8;70.81130435;3717.39;1.5557;16.86;0.0034;7.59;0
117;4394;27071;583.8;1.67;12.8;7.55;66.27784512;4007.72;1.4981;15.8;0.0032;7.9;0
118;4819;27257;676.92;1.6;11.22;5.28;69.56499647;3890.51;1.7272;17.59;0.0033;6.35;0
119;4471.1;27861;636.37;1.56;11.53;4.96;67.81225589;4118.74;1.3598;16.49;0.0031;7.42;0
120;5012.49;28401;576.54;1.56;12.57;5.9;68.02051965;4141.63;1.8577;16.28;0.0031;7.5;0
121;5629.79;29230;583.27;1.53;12.85;6.3;67.55401845;4135.46;1.6677;16.42;0.003;7.38;0
122;4720.43;28854;526.73;1.55;11.6;4.5;65.02404028;4350.49;1.5974;16.03;0.0029;7.56;0
123;5257.56;28532;454.32;1.56;10.97;3.86;60.54361949;4754.3;1.509;15.11;0.0028;7.5;0
125;5758.9;27404;492.19;1.53;10.51;5.98;57.72431412;5016.18;1.5253;15.08;0.0028;7.29;0
126;5844.25;27451;466.38;1.45;11.85;6.52;63.37708082;4642.57;1.4099;16.47;0.003;7.25;0
127;6223.86;28094;421.33;1.4;12.9;7.7;60.2594533;4888.74;1.374;15.42;0.0028;7.07;0
129;5753.31;29024;429.21;1.35;11.85;6.39;57.74113326;5426.08;1.5164;14.82;0.0026;7.19;0
130;5067.28;29394;416.32;1.33;11.3;6.03;57.79562272;5572.46;1.8124;16.9;0.0026;5.95;0
131;5054.34;29257;425.61;1.29;13.5;9.54;59.79185185;5471.76;1.4649;15.38;0.0027;7.94;0
133;5547.68;28673;381.05;1.2;13.97;9.92;55.30807692;6090.39;1.6182;14.27;0.0026;8.2;0
134;4963.68;28713;358.23;1.21;14.46;11.52;49.43203426;6841.03;1.485;13.22;0.0024;8.31;0
135;5115.77;28594;405.86;1.22;13.79;11.65;52.28965455;6523.04;1.4734;14.09;0.0025;8.16;0
136;4924.61;28638;437.62;1.23;13.33;11.4;50.79903846;6849.38;1.4728;14;0.0024;7.97;0
137;4894.19;28938;444.08;1.23;13.02;11.02;61.29175853;5840.39;1.5844;17.02;0.0028;7.72;0
138;4802.44;28555;435.55;1.21;15.83;14.38;66.99898477;5424.3;1.5269;18.82;0.0031;7.46;0
139;4533.71;28957;392.47;1.18;15.52;14.38;61.34894057;5931.01;1.5394;16.98;0.0028;7.57;0
140;4646.55;28596;383.74;1.15;15.99;14.06;58.46075707;6461.94;1.6485;16.29;0.0027;7.79;0
141;4230.04;28022;380.31;1.13;15.35;13.72;59.0093001;6580.34;1.4111;16.43;0.0028;7.58;0
142;3852.55;28016;392.03;1.11;15.62;13.86;61.87788462;6694.07;1.1253;17.09;0.0029;7.48;0
143;3808.41;27771.4;392.03;1.11;15.27;13.29;58.71967054;6759.78;1.4872;16.16;0.0029;8.06;0
144;4164.37;27937;453.25;1.12;16.11;14.38;59.34390028;6747.36;1.5825;16.55;0.0029;8.03;0
147;5109.16;28756;530.79;1.18;15.43;12.95;69.47239613;5783.67;1.6765;19.15;0.0033;7.9;0
149;5270.78;30323.7;463.67;1.25;14.56;12.59;68.74967062;6057.21;1.5755;19.05;0.0031;8.06;0
150;5586.51;30156.44;456.4;1.28;14.47;12.63;70.36731702;5893.93;1.4373;19.85;0.0032;7.88;0
152;5258.97;29896.9;371.14;1.33;13.44;11.02;68.77136359;6182.69;1.4405;19.68;0.0031;7.81;0
153;5066.09;29994.5;390.42;1.34;11.98;10.03;70.50512478;6121.79;1.5359;21.9;0.0032;7.03;0
154;4547.16;32037.04;424.94;1.34;12.47;10.3;72.98355705;6184.26;1.6369;21.47;0.0031;7.33;0
157;5530.98;32578.18;398;1.4;13.09;10.94;74.07891783;6099.59;1.5942;20.35;0.003;7.97;0
158;5306.91;33626.43;435.04;1.43;12.2;9.31;76.68587896;5960.32;1.6531;21.09;0.003;7.96;0
159;4928.17;34162.23;494.78;1.48;11.74;8.75;81.33216572;5708.89;1.3958;23.16;0.0032;7.81;0
160;5462.34;34056.62;497.81;1.51;11.36;8.45;81.32251056;5711.13;1.8252;23.52;0.0032;7.62;0
161;5423.85;33733.38;508.7;1.58;10.65;8.21;79.84950029;5858.62;1.5181;23.11;0.0031;7.74;0
162;5617.91;33539.56;530.86;1.71;8.92;7.63;80.00117165;5907.81;1.6933;23.65;0.0032;7.56;0
163;5469.95;34067.56;599.84;1.87;8.21;7.62;81.59017761;5808.11;1.6538;24.75;0.0032;7.53;0
164;5511.15;34841.45;629.05;1.98;7.4;6.81;81.92783991;5923.05;1.6046;25.03;0.0031;7.44;0
165;4955.32;35114.08;617.08;2.04;6.65;6.29;81.152864;6026.08;1.5029;26.28;0.0032;6.13;0
168;4457.33;36000.72;761.08;2.32;6.47;7.33;83.02249319;5998.28;1.1896;24.64;0.003;6.54;0
169;5222.21;37419.16;735.67;2.39;5.75;6.7;81.68021428;6080.6;1.1413;24.36;0.0029;6.53;0
170;5259.14;37080.66;783.41;2.41;5.02;5.66;80.96963399;6173;1.1907;24.04;0.0029;6.38;0
171;6062.2;36469.56;733.99;2.31;5.28;6.02;77.42681868;6583.84;1.4846;23.44;0.0028;6.49;0
172;6514.87;34851;732.4;2.23;5.87;5.97;77.3441317;6741.18;1.4343;24.02;0.003;6.26;0
173;6380.14;34810.47;756.98;2.16;6.05;5.51;79.96629581;6600.23;1.3643;25.2;0.0031;5.58;0
174;6520.1;34821.9;746.76;2.12;6.45;5.83;79.2290952;6717.77;1.4627;24.94;0.003;5.69;0
176;6754.77;35353.2;860.35;2.05;6.12;5.66;82.63652365;6535.99;1.3388;26.46;0.0031;5.39;0
177;5998.1;35927.38;977.77;2.04;5.7;4.5;83.77245509;6538.48;1.4355;27.01;0.0031;5.42;0
178;7074.15;36320.48;1000.23;2;5.67;3.77;84.7818084;6830.61;1.1901;26.47;0.0031;5.18;0
179;6298.97;36092.18;1045.44;2;5.34;4.01;84.79814512;6820.67;1.1601;26.45;0.0031;5.54;0
180;6508.01;36542.11;1073.83;1.98;6.91;5.68;83.75097192;6840.29;1.0713;26.42;0.003;5.63;0
181;7324.25;36030.14;1080.17;1.92;4.99;3.53;82.63470464;7075.88;1.048;25.74;0.003;5.53;0
182;6879.85;36428.79;1080.17;1.94;6.54;5.29;83.57742947;7124.78;1.1044;25.13;0.003;5.72;0
183;7472.28;34612.61;1088.17;1.88;6.82;4.64;84.45866245;7090.84;1.1115;25.98;0.0032;5.55;0
184;7222.97;33865.41;1122.37;1.86;6.69;4.55;84.41604036;7286.38;1.162;26.96;0.0033;5.43;0
185;7234.93;32208.37;1182.3;1.81;6.63;4.93;83.93054283;7389.13;1.0999;26.59;0.0035;5.64;0
188;7971.88;32646.09;1058.26;1.62;0.68;1.25;83.94945491;8196.62;1.2341;27.78;0.0035;4.55;0
189;7019.4;33239.83;1017.73;1.49;9.41;6.14;86.24564026;8325.58;1.3879;26.78;0.0035;5.17;0
190;8083.78;34723.69;1162.63;1.38;11.79;8.14;90.6207528;8185.06;1.2838;27.58;0.0035;5.02;0
191;7812.44;35076.65;1229.7;1.33;10.87;7.65;95.56221394;7868.86;1.3745;29.17;0.0036;5.14;0
192;7734.13;35525.13;1216.14;1.33;11.74;7.87;98.05027086;7760.31;1.3321;29.29;0.0037;5.23;0
194;8188.78;42811.64;1464.4;1.35;11.98;8.8;103.2849003;7280.74;1.2999;31.18;0.0032;5.19;0
199;9312.65;42352.88;1534;1.43;10.67;5.13;107.1274499;7761.32;1.3572;35.07;0.0033;5.02;0
200;8461.69;39895.37;1582.62;1.46;9.86;4.1;110.5953897;7764.72;1.4016;36.91;0.0037;4.83;0
202;9885.12;42586.33;1805.52;1.55;8.5;3.14;116.0859202;7808.06;1.3383;38.47;0.0036;4.65;0
203;8640.81;43266.33;1757.26;1.61;8.22;3.52;115.9338834;7953.99;1.2839;36.93;0.0035;4.98;0
204;8530.4;45689.98;1740.97;1.67;8.21;3.92;115.9745633;8006.67;1.3292;36.72;0.0033;5.07;0
206;9300.94;49309.39;1999.17;1.72;8.46;4.56;117.3554993;7829.61;1.306;37.67;0.0031;5.06;0
208;9923.25;50924.44;2139.28;1.76;7.64;3.21;120.8661365;7765.71;1.2804;41.06;0.0032;5.02;0
209;10106.38;51879.77;2348.67;1.78;6.97;2.25;122.1988896;7927.04;1.2624;42.05;0.0031;5.06;0
210;10041.54;51426.42;2194.34;1.82;6.76;2.07;120.7444208;8180.94;1.2034;41.65;0.0031;5.01;0
211;9861.03;52875.12;2359.21;1.79;6.64;2.98;124.6378461;7977.85;1.196;43.79;0.0031;4.89;0
212;10391.26;54154.21;2643.49;1.78;6.62;3.17;127.179721;7993.24;1.3492;44.38;0.0031;4.89;1
213;10383.36;54897.03;2688.33;1.78;7.22;4.16;125.8864121;8201.24;1.1456;44.09;0.003;5.01;1
214;11402.02;56920.13;2745.83;1.75;6.32;2.58;132.5806349;8287.22;1.4168;47.78;0.0031;4.35;1
215;11484.58;55998.74;2627.25;1.76;5.63;3.73;130.3184802;8269.05;1.2083;44.21;0.0031;4.8;1
216;10881.44;57125.1;2721.94;1.76;6.71;4.64;132.9403381;8091.47;1.1205;44.35;0.0031;4.98;1
218;11318.61;58769.99;2304.52;1.79;6.66;6.04;131.3697206;8225.44;0.967;44.88;0.003;4.97;1
220;12971.91;59452.6;2349.11;1.73;6.44;6.46;136.918374;8365.41;1.0943;49.11;0.0031;4.87;1
221;12704.32;60563.47;2304.51;1.68;6.45;5.91;136.1878701;8338.01;1.0034;48.91;0.0031;4.86;1
222;12453.47;58356.43;2165.94;1.6;7.89;6.09;135.5362176;8446.49;1.0629;48.11;0.0032;4.9;1
223;12921.96;57107.97;1832.51;1.47;8.48;6.14;139.6640009;8750.33;1.1852;51.16;0.0033;4.53;1
224;11373.35;50580.17;1256.7;1.44;9.72;7.04;121.7491587;10410.46;1.0052;41.76;0.0033;5.9;1
225;9577.5;50181.62;1241.54;1.4;10.71;6.46;111.7452062;11744.09;1.0994;38.15;0.003;6.03;1
226;8817.49;51639.31;1355.41;1.36;11.2;8.14;128.1302283;10690.16;1.1085;41.72;0.0034;5.5;0
227;7431.96;50869.56;1332.67;1.34;11.41;9.14;123.1830031;11029.75;1.1322;38.56;0.0032;5.96;0
229;8905.86;54840.18;1406.65;1.41;10.43;7.65;123.7269114;11208.74;1.3745;38.71;0.003;6.29;0
230;8414.49;56565.9;1722.77;1.47;10.4;7.94;134.1699804;10316.49;1.334;42.28;0.0032;6.2;0
231;9602.02;57934.1;1916.83;1.52;9.64;7.38;140.1384913;9932.97;1.3892;44.19;0.0032;6.23;0
233;10259.93;57418.46;2323.24;1.61;8.54;6.02;149.1728831;9516.49;1.1606;47.27;0.0034;6.07;0
234;10893.56;57943.04;2341.54;1.64;8.17;6.04;149.855666;9682.97;1.2988;48.72;0.0034;6.15;0
236;11899.88;64528.45;2367.7;1.77;7.78;6.29;160.2684128;9286.5;1.31;50.87;0.0033;5.54;0
237;10642.71;65844.17;2415.84;1.82;7.71;6.48;162.6915612;9214.37;1.2865;52.22;0.0033;5.47;0
239;10538.74;69562.47;2610.8;1.88;6.47;5.88;171.1464218;9193.55;1.1496;53.02;0.0032;5.4;0
241;13320.11;71823.21;2777.3;1.94;7.15;6.95;178.8542216;8922.9;1.2186;54.25;0.0032;5.64;0
243;12537.3;74587.29;2796.96;1.91;6.66;6.17;181.7827288;9003.44;1.2508;55.99;0.0031;5.47;0
245;12996.68;78794.09;3069.28;1.9;5.38;4.83;191.1734227;9010.82;1.0853;60.29;0.0031;5.42;0
246;14192.28;81317.21;3081.88;1.9;6.2;5.76;190.6698064;9157.28;1.1498;61.44;0.003;5.24;0
249;15044.04;92759.28;3531.21;1.84;6.43;5.82;205.1241429;9209.42;1.1986;63.39;0.0028;4.85;0
250;16268.59;96206.85;3703.51;1.82;6.14;5.63;219.0752775;9255.47;1.1896;67.34;0.0029;4.77;0
251;14943.4;95331.56;3409.17;1.85;5.99;5.97;215.0494678;9362.25;1.1805;66.71;0.0028;4.76;0
252;14125.27;99618.83;3470.35;1.87;6.69;6.99;217.4390876;9087.82;1.166;66.4;0.0028;4.82;0
253;16749.46;105709.08;3678.67;1.78;7.23;7.93;226.770302;8854.97;1.1465;66.67;0.0027;4.84;0
254;16387.77;113814.19;3819.62;1.77;7.27;7.58;230.5794845;8635.13;1.1091;68.19;0.0025;4.68;0
255;17799.37;118108.84;3836.97;1.77;6.79;6.98;237.7932986;8567.82;1.2011;71.66;0.0025;4.71;0
257;16907.53;122670.95;4130.8;1.82;6.21;6.05;245.5397873;8644.85;1.0676;75.19;0.0025;4.62;0
258;18530.8;124637.75;3841.73;1.81;5.97;5.98;244.8387328;8773.22;1.2652;77.27;0.0025;4.19;0
259;16937.76;114502.4;3549.03;1.76;6.78;6.51;245.3963674;9034.65;1.1366;74.36;0.0026;4.68;0
260;17092.36;113961.76;3790.85;1.74;7.23;6.29;248.616369;9055.09;1.1006;75.27;0.0027;4.73;0
261;16611.16;111315.94;3715.08;1.76;6.65;5.46;243.660157;9438.52;1.0713;72.8;0.0027;4.8;0
262;16997.14;110122.84;3821.99;1.79;6.24;5.06;260.623326;9409.48;1.0693;79.73;0.0029;4.69;0
263;15678.52;111990.49;3941.69;1.81;5.92;5.56;260.6155211;9395.27;1.0347;77.36;0.0028;4.81;0
264;15704.36;112219.56;3985.21;1.84;6.47;6.02;258.1378833;9439.56;0.9931;75.2;0.0028;4.93;0
265;16970.04;110493.27;4121.55;1.9;6.24;6.32;261.0987277;9473.09;1.0464;77.8;0.0029;4.97;0
266;15863.43;116413.02;4180.73;1.98;5.79;5.82;262.6262339;9473.98;0.9629;78.44;0.0027;4.91;0
267;16371.82;111528.07;3832.82;2;5.82;5.44;256.9268155;9878.13;0.9688;78.35;0.0028;4.95;0
269;15738.65;106558.99;4142.34;2.08;4.97;4.77;262.4279863;9934.02;0.9833;81.36;0.003;4.81;0
270;13706.43;108990.39;4060.33;2.09;4.66;5.24;263.0679027;10036.69;1.0031;80.79;0.003;4.7;0
271;16162.57;110172.24;4262.56;2.06;5.68;6.07;267.6500407;10022.36;1.0492;82.96;0.003;4.9;0
272;15326.72;110297.16;4350.29;2.06;5.5;5.43;267.9408539;10070.43;0.8882;80.6;0.003;4.88;0
274;15393.9;112781.22;4316.69;1.99;5.22;4.62;280.2338139;10252.16;0.9879;87.04;0.003;4.69;0
277;15024.6;104799.86;4940.99;2.03;5.17;5.42;279.988433;10379.75;1.0092;83.35;0.0033;5;0
278;14760.9;107268.5;5034.07;2;5.68;5.48;284.9936155;10398.77;0.8966;85.6;0.0032;5.04;0
279;16074;105148.53;5068.63;2.02;5.58;5.71;283.4860763;10475.79;0.9648;83.95;0.0033;5.03;0
280;14740.72;98095.1;4818.9;1.99;4.7;5.1;278.9909044;10694.09;0.9427;86.46;0.0035;4.93;0
281;15108.5;92671.06;4610.38;1.95;2.97;3.4;272.7065596;11399.76;0.8675;85.62;0.0037;4.67;0
282;13160.8;92997.09;4195.09;1.89;5.17;6.01;256.0698892;12221.44;1.0114;78.34;0.0034;4.91;0
283;14809.3;95675.33;4316.18;1.79;6.83;7.5;245.7458081;12945.1;0.9575;74.72;0.0032;5.01;0
284;15716.9;96995.68;4510.63;1.72;6.77;6.69;253.7385206;12578.01;1.0027;76.21;0.0033;4.87;0
286;16967.8;99386.71;4274.18;1.59;7.16;6.92;243.7321954;13760.32;1.0978;72.78;0.0031;4.54;0
289;15192.6;102591.87;4768.28;1.49;8.2;7.94;260.2693108;12876.59;1.0461;74.84;0.0031;4.74;0
290;14292.5;105562.78;4840.15;1.48;8.36;7.73;263.6537678;12976;0.8793;76.35;0.0031;4.78;0
291;14825.3;107047.66;4893.91;1.42;8.74;7.57;262.8899871;13040.46;1.0037;78.09;0.003;4.79;0
292;15416;107678.1;4878.58;1.51;7.91;7.14;262.2540747;13475.3;0.982;79.01;0.003;4.85;0
294;14475.1;111223.64;5136.86;1.35;8.96;6.74;269.5006572;13404.1;0.9785;76.46;0.003;4.72;0
295;15275.8;111164.46;5137.58;1.36;9.1;7.19;266.9973198;13997.97;0.9826;77.72;0.003;4.91;0
296;15350.9;111972.61;5089.55;1.39;8.77;6.66;271.2560718;13948.45;1.0015;77.83;0.003;4.74;0
297;13615.9;111143.55;5149.89;1.42;7.52;5.59;271.5965571;14369.3;0.9697;78.35;0.003;4.77;0
298;14612.3;111861.59;5226.95;1.43;6.48;4.6;271.3786246;15103.35;1.0123;75.74;0.003;4.54;0
299;13355.8;114249.52;5289.4;1.43;9.15;7.4;265.059322;15362.9;1.059;72.72;0.0029;4.89;0
300;12172.8;115527.33;5450.29;1.43;9.3;8.17;264.2243015;15528.37;1.0576;72.13;0.0028;4.96;0
301;13634.3;111553.65;5518.68;1.46;8.64;7.81;261.7120154;15728.26;1.0813;73.19;0.0029;5.01;0
303;12754.7;110770.55;5216.38;1.5;8;7.39;259.3867883;15904.09;1.0983;74.25;0.0029;4.9;0
305;11465.8;107552.84;4802.53;1.56;7.2;6.46;257.9615985;16409.57;1.1373;76.55;0.003;4.81;0
306;12726;105345.92;4509.61;1.57;7.67;6.85;248.3104948;17164.67;1.0264;73.17;0.003;4.96;0
307;12588.4;101719.53;4223.91;1.58;8;7.27;242.5535403;17954.7;1.0891;72.53;0.003;5.09;0
308;12121.7;100711.97;4455.18;1.57;8.07;7.42;258.2674969;16701.44;1.0912;75.98;0.0032;4.99;0
