Id;Ekspor;Cadangan Devisa;IHSG;Selisih Pinjaman dan Simpanan;Suku Bunga Simpanan Riil;Selisih BI Rate Riil dan FED Rate Riil;Simpanan bank ;Nilai Tukar Riil;Nilai Tukar Perdagangan;M1;M2/Cadangan Devisa;M2M
228;7857.55;50564.33;1285.48;1.35;10.92;8.42;118.0676127;11603.69;1.3965;36.29;0.0031;6.26
232;10141.45;57576.02;2026.78;1.57;9.14;7.63;145.9422983;9749.95;1.2713;47.2;0.0034;6.12
235;10135.24;62287.14;2467.59;1.7;7.3;5.39;156.6465241;9410.12;1.426;50.67;0.0033;5.7
238;13461.02;66104.86;2534.36;1.83;7.15;5.87;171.5508511;9182.55;1.5301;54.87;0.0034;5.33
240;11224.95;69730.6;2549.03;1.93;6.77;6.09;170.5512105;9188.99;1.2526;52.5;0.0032;5.44
242;12140.44;78582.77;2971.25;1.92;6.83;6.4;181.3076687;8820.19;1.1381;54.9;0.003;5.49
244;12761.39;76321.26;2913.68;1.89;5.98;5.31;190.4932676;9003.39;1.1538;60.05;0.0032;5.56
247;12519.47;86550.64;3501.3;1.87;6.51;6;198.2701782;9073.29;1.3804;61.62;0.0029;5.37
248;14279.48;91798.63;3635.32;1.86;6.93;6.44;202.3471864;9071.95;1.2233;62.23;0.0028;5.51
256;17586.73;119654.75;3888.57;1.76;6.4;5.97;241.2428812;8684.66;1.1294;74;0.0025;4.66
268;15304.67;106502.39;3955.58;2.05;5.14;4.86;262.5253038;9856.19;0.9483;82.21;0.003;4.87
273;16316.9;111285.11;4276.14;2;5.74;5.09;273.1200708;10111.84;0.9635;83.43;0.003;4.95
275;15375.5;108779.95;4453.7;1.95;5.29;5.33;276.3942648;10347.37;0.9952;81.24;0.0031;4.92
276;15015.6;105182.65;4795.79;1.93;5.22;5.75;278.4275008;10302.33;0.9806;81.36;0.0032;5
285;15925.7;96960.15;4256.44;1.65;7.14;7.02;240.139752;13459.5;1.0512;72.67;0.0031;4.82
287;14472.3;100651.4;4418.76;1.54;6.88;6.68;239.4040528;13897.43;0.9702;68.93;0.003;4.67
288;14634.1;102740.92;4620.22;1.54;7.77;7.49;253.3253137;13210.2;1.0612;71.73;0.003;4.81
293;14178.2;110542.44;5088.8;1.38;8.26;6.41;267.1863075;13176.03;1.0069;79.25;0.003;4.36
302;13104.6;110867.1;5086.43;1.48;8.23;7.22;265.2494775;15576.33;1.0379;74.16;0.003;4.89
304;13514.1;108029.61;4910.66;1.54;7.73;7.19;261.9966644;16079.39;1.0413;77.97;0.003;4.94
309;11122.2;100240.45;4446.46;1.59;7.69;6.96;256.210776;17018.34;0.9655;75.95;0.0032;4.97
310;11917.1;105931.03;4593.01;1.56;7.03;5.83;263.3157035;17184.65;0.9867;76.51;0.0031;4.81
321;13495.3;111466.09;5148.91;1.72;6.22;3.75;290.7461669;16987.12;1.0652;87.2;0.0032;5.16
324;12613.52;119863.05;5386.69;1.67;6.51;4.21;301.1800898;16832.56;1.1109;89.61;0.0031;5.21
326;13279.19;123249.43;5685.3;1.69;6.55;4.09;307.7739805;16755.78;1.1117;93.49;0.0031;5.11
329;13611.22;127758.58;5840.94;1.69;6.34;3.34;317.1999605;16950.57;0.9802;97.07;0.003;5.19
335;14455.5;131979.64;6605.63;1.78;5.41;2.8;328.4022279;17125.2;0.9553;98.91;0.003;5.21
337;15586.87;126003.2;6188.99;1.8;5.68;2.66;322.2464835;17507.78;1.0777;98.95;0.0031;5.19
342;15865.1;117927.18;6018.46;1.71;6.17;3.74;305.1126628;18739.04;0.9433;94.1;0.0032;5.5
343;14956.3;114847.52;5976.55;1.69;6.44;3.93;303.5292351;18960.65;1.0237;94.56;0.0033;5.63
345;14851.7;117211.83;6056.12;1.59;6.32;3.28;319.5764066;18339.79;0.8787;98;0.0034;5.69
352;11779.8;123823.27;6358.63;1.53;6.24;3.1;341.5709994;18272.82;1.0169;107.74;0.0034;5.69
